0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:59 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:01 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=%2F HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:01 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:04 +0700] "GET /Java5/BtMayTinh_.jsp?a=7&b=6&calculate=%2B HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:05 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:07 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:49 +0700] "GET /Java5/BtMayTinh_.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:52 +0700] "GET /Java5/BtMayTinh_.jsp?a=0&b=0&calculate=%2B HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:05:55 +0700] "GET /Java5/BtMayTinh_.jsp?a=4&b=0&calculate=%2B HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:00 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=0&calculate=%2F HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:09 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:30 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:32 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:33 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:34 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:34 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:35 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=- HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:37 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:38 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2F HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:40 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:41 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:41 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:06:41 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2F HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:11:28 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2F HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:11:28 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2F HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:11:37 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2F HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:15 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=- HTTP/1.1" 200 669
