0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:44 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:44 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:46 +0700] "GET /Java5/htsach.jsp?ml=tin HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:47 +0700] "GET /Java5/giohang.jsp?ms=s1&ts=C%C6%A1%20s%E1%BB%9F%20d%E1%BB%AF%20li%E1%BB%87u%201&gia=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:47 +0700] "GET /Java5/htgio.jsp HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:47 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:47 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:35:31 +0700] "GET /Java5/htgio.jsp?ms=s5&sl=6 HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:35:31 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:35:31 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:35:37 +0700] "GET /Java5/htgio.jsp?ms=s1&sl=6 HTTP/1.1" 200 6323
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:35:37 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:35:37 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
