127.0.0.1 - - [15/Sep/2022:08:15:13 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:15:15 +0700] "GET /Java5/signup.jsp HTTP/1.1" 200 9670
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:15:16 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:16:25 +0700] "GET /Java5/signup.jsp HTTP/1.1" 200 9710
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:16:45 +0700] "GET /Java5/signup.jsp HTTP/1.1" 200 9710
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:16:53 +0700] "GET /Java5/signup.jsp HTTP/1.1" 200 9709
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:32:13 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:36:36 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:36:52 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:40:11 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:40:58 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:41:39 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:43:43 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:55:04 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:55:36 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:56:23 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:56:45 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [15/Sep/2022:08:56:59 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 3923
