127.0.0.1 - - [16/Sep/2022:07:17:43 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:17:44 +0700] "GET /Java5/signup.jsp HTTP/1.1" 200 9709
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:17:46 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:19:39 +0700] "GET /Java5/bccFull.jsp HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:19:45 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:51:27 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:53:55 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:55:49 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 500 2231
0:0:0:0:0:0:0:1 - - [16/Sep/2022:07:56:46 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 500 2210
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:00:37 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:01:47 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:01:49 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:02:14 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3326
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:06:59 +0700] "GET /Java5/htkq.jsp?sngay=16&sthang=9&snam=2022&but1=Xem+kq HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:11:21 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:19:37 +0700] "GET /Java5/htkq.jsp?sngay=16&sthang=9&snam=2022&but1=Xem+kq HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:20:02 +0700] "GET /Java5/htkq.jsp?sngay=16&sthang=9&snam=2022&but1=Xem+kq HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:42:31 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:42:33 +0700] "GET /Java5/htkq.jsp?sngay=16&sthang=9&snam=2022&but1=Xem+kq HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:43:10 +0700] "GET /Java5/htkq.jsp?sngay=16&sthang=9&snam=2022&but1=Xem+kq HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2022:08:43:34 +0700] "GET /Java5/ktXs.jsp HTTP/1.1" 200 3670
